,Movie,Director,Actors,Rating
143,On the Town,"Stanley Donen, Gene Kelly","Gene Kelly, Frank Sinatra, Betty Garrett, Ann Miller",71
144,Zenek,Jan Hryniak,"Jakub Zajac, Krzysztof Czeczot, Klara Bielawka, Karol Dziuba",N/A
145,Kissin' Cousins,Gene Nelson,"Elvis Presley, Arthur O'Connell, Glenda Farrell, Jack Albertson",N/A
146,Million Dollar Mermaid,Mervyn LeRoy,"Esther Williams, Victor Mature, Walter Pidgeon, David Brian",50
147,Aadhi,Jeethu Joseph,"Pranav Mohanlal, Sharafudheen, Meghanadhan, Siddique",N/A
148,Fast Forward,Sidney Poitier,"John Scott Clough, Don Franklin, Tamara Mark, Tracy Silver",N/A
149,Waves,Trey Edward Shults,"Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie",80
150,True Stories,David Byrne,"John Goodman, Annie McEnroe, Jo Harvey Allen, Spalding Gray",67
151,"Paradise, Hawaiian Style",Michael D. Moore,"Elvis Presley, Suzanna Leigh, James Shigeta, Donna Butterworth",N/A
152,Jem and the Holograms,Jon M. Chu,"Aubrey Peeples, Stefanie Scott, Aurora Perrineau, Hayley Kiyoko",42
153,The Rocky Horror Picture Show,Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien",65
154,42nd Street,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler",83
155,The Nutcracker,Emile Ardolino,"Darci Kistler, Damian Woetzel, Kyra Nichols, Wendy Whelan",N/A
156,Can't Stop the Music,Nancy Walker,"Ray Simpson, David Hodo, Felipe Rose, Randy Jones",N/A
157,Taal,Subhash Ghai,"Akshaye Khanna, Anil Kapoor, Aishwarya Rai Bachchan, Alok Nath",N/A
158,The Pilgrim’s Progress,David West,"Jeremy Oliveria, Matthew McAuliffe, Reavah Hope, Kylon Brune",N/A
159,Chance Pe Dance,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah",N/A
160,42nd Street: The Musical,"Mark Bramble, Ross MacGibbon","Bonnie Langford, Tom Lister, Clare Halse, Philip Bertioli",N/A
161,Lucknow Central,Ranjit Tewari,"Farhan Akhtar, Diana Penty, Inaamulhaq, Ronit Roy",N/A
162,Everybody's Talking About Jamie,Jonathan Butterell,"John McCrea, Josie Walker, Ken Christiansen, Alex Anstey",N/A
163,Body Rock,Marcelo Epstein,"Lorenzo Lamas, Vicki Frederick, Cameron Dye, Michelle Nicastro",N/A
164,Teen Spirit,Max Minghella,"Elle Fanning, Agnieszka Grochowska, Archie Madekwe, Zlatko Buric",57
165,At Long Last Love,Peter Bogdanovich,"Burt Reynolds, Cybill Shepherd, Madeline Kahn, Duilio Del Prete",N/A
166,Les Chansons d'Amour,"Elise Cribier-Delande, Laure Siefert",N/A,N/A
167,Give My Regards to Broad Street,Peter Webb,"John Burgess, Bryan Brown, Philip Jackson, Ian Hastings",N/A
168,Vox Lux,Brady Corbet,"Natalie Portman, Jude Law, Stacy Martin, Jennifer Ehle",67
169,Yellow Submarine,George Dunning,"The Beatles, Paul Angelis, John Clive, Dick Emery",79
170,An American in Paris: The Musical,"Christopher Wheeldon, Ross MacGibbon","Robbie Fairchild, Leanne Cope, Haydn Oakley, Zoe Rainey",N/A
171,K3 Love Cruise,Frederik Sonck,"Babs Boumans, Harold Brusse, Truus de Boer, Bart de Graauw",N/A
172,Mohabbatein,Aditya Chopra,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj",N/A
173,Mehbooba,"Tabrez Hashmi, Afzal Khan","Sanjay Dutt, Manisha Koirala, Ajay Devgn, Asrani",N/A
174,The Nutcracker,Emile Ardolino,"Darci Kistler, Damian Woetzel, Kyra Nichols, Wendy Whelan",N/A
175,Straight From The Heart,David S. Cass Sr.,"Teri Polo, Andrew McCarthy, Patricia Kalember, Greg Evigan",N/A
176,Jesus is King,Nick Knight,"Kanye West, Kim Kardashian West, Ray Romulus, Lito Hernandez",61
177,Absolute Beginners,Julien Temple,"Patsy Kensit, Eddie O'Connell, David Bowie, James Fox",60
178,Bai Mao Nu,Fung Wong,"Connie Chan, Josephine Siao, Siutong So, Suqiu Yu",N/A
179,Over the Moon,"Glen Keane, John Kahrs(co-director)","Glen Keane, Brycen Hall, Ruthie Ann Miles, John Cho",60
180,Lagaan,Ashutosh Gowariker,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne",84
181,Funny Girl,William Wyler,"Barbra Streisand, Omar Sharif, Kay Medford, Anne Francis",89
182,Pippi Longstocking,Olle Hellbom,"Inger Nilsson, Maria Persson, Pär Sundberg, Margot Trooger",N/A
183,Bir Varmis Bir Yokmus,Ilksen Basarir,"Mert Firat, Melisa Sözen, Anil Altinoz, Derya Durmaz",N/A
184,Saturday’s Warrior,Michael Buster,"Jacob Buster, Mason D. Davis, Monica Moore Smith, Anna Daines",N/A
185,Step Up China,Ron Yuan,"Jade Chynoweth, Sean Lew, Stuart D. Latham, Janelle Ginestra",N/A
186,The Pirates of Penzance,Wilford Leach,"Kevin Kline, Angela Lansbury, Linda Ronstadt, George Rose",66
187,Anna and the Apocalypse,John McPhail,"Ella Hunt, Malcolm Cumming, Sarah Swire, Christopher Leveaux",63
188,London Road,Rufus Norris,"Olivia Colman, Clare Burt, Rosalie Craig, Anita Dobson",71
189,Un'Avventura,Marco Danieli,"Michele Riondino, Laura Chiatti, Valeria Bilello, Thomas Trabacchi",N/A
190,Eddie and the Cruisers II,Jean-Claude Lord,"Michael Paré, Marina Orsini, Bernie Coulson, Matthew Laurance",N/A
191,Standing Ovation,Stewart Raffill,"Devon Jordan, Ashley Cutrona, Erika Corvette, London Clark",22
192,Andaaz,Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra, Rajeev Verma",N/A
193,You Beautify My Life,N/A,N/A,N/A
194,Spievankovo a Kráľovná Harmónia,Diana Novotná,"Mária Podhradská, Richard Canaky, Anna Kachutová, Anikó Varga",N/A
195,The Forgotten Carols,Christy Summerhays,"Roger Dunbar, Gili Getz, Dave Martin, Jeff McLean",N/A
196,The Five Senses,Jeremy Podeswa,"Molly Parker, Gabrielle Rose, Elize Frances Stolk, Nadia Litz",56
197,Lucky,John Carroll Lynch,"Harry Dean Stanton, David Lynch, Ron Livingston, Ed Begley Jr.",80
198,Vekh Baraatan Challiyan,Ksshitij Chaudhary,"Binnu Dhillon, Kavita Kaushik, Karamjit Anmol, Ranjit Bawa",N/A
199,Thomas & Friends: Journey Beyond Sodor,Miika Soini,"Lasse Pöysti, Mauri Heikkilä, Visa Koiso-Kanttila, Pentti Siimes",N/A
200,King of Prism: Shiny Seven Stars 3,Masakazu Hishida,N/A,N/A
201,Southland Tales,Richard Kelly,"Carlos Amezcua, Curtis Armstrong, Robert Benz, Todd Berger",44
202,K-12,"Melanie Martinez, Alissa Torvinen(co-director)","Melanie Martinez, Emma Harvey, Megan Gage, Maggie Budzyna",N/A
203,Dyrene i Hakkebakkeskogen,Rasmus A. Sivertsen,"Espen Bråten Kristoffersen, Stig Henrik Hoff, Wenche Myhre, Nils Jørgen Kaalstad",N/A
204,3688,Royston Tan,"Joi Chua, Michael Tan, Rahimah Rahim, Ling Ling Liu",N/A
205,Tera Intezaar,Raajeev Walia,"Arbaaz Khan, Sunny Leone, Bhani Singh, Salil Ankola",N/A
206,Golosa Bolshoy Strany,Tair Mamedov,"Alena Toymintseva, Andrey Grizli, Egor Sesarev, Tina Kuznetsova",N/A
207,Dil Kya Kare,Prakash Jha,"Ajay Devgn, Mahima Chaudhry, Kajol, Chandrachur Singh",N/A
208,The CBeebies Christmas Show: Thumbelina,N/A,N/A,N/A
209,Ho Mann Jahaan,Asim Raza,"Mahira Khan, Adeel Husain, Sheheryar Munawar, Sonya Jehan",N/A
210,Revolution X: The Movie,Dimitar Gochev,"Silvia Petkova, Daniel Angelov, Dimitar Berbatov, Gery-Nikol Georgieva",N/A
211,Dantza,Telmo Esnal,"Joseba Astarbe, Josu Garate, Amaia Irigoyen, Gari Otamendi",N/A
212,Greendale,Neil Young,"Sarah White, Eric Johnson, Ben Keith, Erik Markegard",52
213,The Big Gay Musical,"Casper Andreas, Fred M. Caruso","Lena Hall, Daniel Robinson, Joey Dudding, Jeff Metzler",N/A
214,Sing Song,Mischa Kamp,"Darren Benschop, Georgiefa Boomdijk, Floris Bosma, Borger Breeveld",N/A
215,The Last Five Years,Richard LaGravenese,"Anna Kendrick, Jeremy Jordan, Tamara Mintz, Cassandra Inman",60
216,Repo! The Genetic Opera,Darren Lynn Bousman,"Alexa PenaVega, Paul Sorvino, Anthony Head, Sarah Brightman",32
217,Jeanne,Timo Bergholm,"Elina Salo, Turo Unho, Kurt Ingvall, Pentti Kotkaniemi",N/A
218,Disney’s Newsies: The Broadway Musical,"Jeff Calhoun, Brett Sullivan","Jeremy Jordan, Kara Lindsay, Ben Fankhauser, Andrew Keenan-Bolger",N/A
219,The Prom,Ryan Murphy,"Meryl Streep, James Corden, Nicole Kidman, Kerry Washington",55
220,Fashion,Madhur Bhandarkar,"Priyanka Chopra, Kangana Ranaut, Mugdha Godse, Arbaaz Khan",N/A
221,Make Your Move,Duane Adler,"Derek Hough, BoA, Will Yun Lee, Wesley Jonathan",40
222,Rock On 2,Shujaat Saudagar,"Farhan Akhtar, Shraddha Kapoor, Arjun Rampal, Purab Kohli",N/A
223,BanG Dream! Film Live,Tomomi Umezu,"Aina Aiba, Sawako Hata, Yôko Hikasa, Miku Itou",N/A
224,Sesinde Aşk Var,Osman Tasci,"Burak Tozkoparan, Hayal Köseoglu, Gizem Günes, Deniz Barut",N/A
225,Were the World Mine,Tom Gustafson,"Tanner Cohen, Wendy Robie, Judy McLane, Zelda Williams",N/A
226,Fanney Khan,Atul Manjrekar,"Aishwarya Rai Bachchan, Anil Kapoor, Rajkummar Rao, Divya Dutta",N/A
227,God Help the Girl,Stuart Murdoch,"Emily Browning, Olly Alexander, Hannah Murray, Pierre Boulanger",58
228,Chandigarh Amritsar Chandigarh,Karaan Guliani,"Dilpreet Dhillon, Gippy Grewal, Ankit Kumar, Sargun Mehta",N/A
229,The Family,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Dianna Agron, John D'Leo",42
230,Tales of Hoffmann,"Jacob Fleck, Luise Fleck, Anton Kolm, Claudius Veltée",Wiener Schauspieler,N/A
231,Anything But Love,N/A,"Jamie Lee Curtis, Richard Lewis, Richard Frank, Holly Fulger",N/A
232,Very Annie-Mary,Sara Sugarman,"Rachel Griffiths, Jonathan Pryce, Ioan Gruffudd, Matthew Rhys",33
233,Love N' Dancing,Robert Iscove,"Nicola Royston, Brandi Tobias, Brian Lucero, Tom Malloy",43
234,Rangreza,Amir Mohiuddin,"Ghana Ali, Bilal Ashraf, Urwa Hocane, Villayat Hussain",N/A
235,She Loves Me,David Horn,"Laura Benanti, Zachary Levi, Jane Krakowski, Tom McGowan",N/A
236,Bugsy Malone,Alan Parker,"Scott Baio, Florence Garland, Jodie Foster, John Cassisi",71
237,Locos de Amor,Frank Pérez-Garland,"Gianella Neyra, Jimena Lindo, Rossana Fernández Maldonado, Lorena Caravedo",N/A
238,Intimissimi On Ice,"Daniel E. Catullo, Kim Gavin","Andrea Bocelli, Carolina Kostner, Stéphane Lambiel, Evgeni Plushenko",N/A
239,Amor em Sampa,"Carlos Alberto Riccelli, Kim Riccelli","Bruna Lombardi, Eduardo Moscovis, Rodrigo Lombardi, Mariana Lima",N/A
240,Colma: The Musical,Richard Wong,"Jake Moreno, H.P. Mendoza, L.A. Renigen, Sigrid Sutter",N/A
241,Sur quel pied danser,Jacques Fansten,"Dominique Blanc, Jimmy Noufel, Pierre Lacan, Anne Le Ny",N/A
242,The American Astronaut,Cory McAbee,"Cory McAbee, Rocco Sisto, Gregory Russell Cook, Annie Golden",51
243,Guy and Madeline on a Park Bench,Damien Chazelle,"Jason Palmer, Desiree Garcia, Sandha Khin, Frank Garvin",83
244,Lajka,"Aurel Klimt, Aurel Klimt","Jan Budar, Petr Ctvrtnícek, Helena Dvoráková, Cenek Koliás",N/A
245,Sita Sings the Blues,Nina Paley,"Annette Hanshaw, Aseem Chhabra, Bhavana Nagulapally, Manish Acharya",93
246,Naked Boys Singing,"Robert Schrock, Troy Christian(co-director)","Andrew Blake Ames, Jason Currie, Jaymes Hodges, Joseph Keane",N/A
247,Villain,B. Unnikrishnan,"Mohanlal, Vishal, Manju Warrier, Meka Srikanth",N/A
248,Notebook,Nitin Kakkar,"Zaheer Iqbal, Pranutan Bahl, Mir Mohammed Mehroos, Mir Mohammed Zayan",N/A
249,Groove City,"Pele Nili, Siavani","Ezra Ape, Lauren Dunningham, Tavai William Faasavalu, Maurica Howard",N/A
250,Yeh Dil,Teja,"Tusshar Kapoor, Anita Hassanandani Reddy, Chetana Das, Akhilendra Mishra",N/A
251,Power Paandi,Dhanush,"Dhanush, Dheena, Divyadarshini, Delhi Ganesh",N/A
252,Daddy Long Legs,Jean Negulesco,"Fred Astaire, Leslie Caron, Terry Moore, Thelma Ritter",N/A
253,Beauty and the Beast,"Gary Trousdale, Kirk Wise","Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury",95
254,Pretty Guardian Sailor Moon: The Musical,N/A,N/A,N/A
255,"Stockholm, My Love",Mark Cousins,Neneh Cherry,61
256,Basmati Blues,Dan Baron,"Brie Larson, Utkarsh Ambudkar, Scott Bakula, Saahil Sehgal",30
257,Jeanne and the Perfect Guy,"Olivier Ducastel(co-director), Jacques Martineau(co-director)","Virginie Ledoyen, Mathieu Demy, Jacques Bonnaffé, Valérie Bonneton",N/A
258,Trollflöjten,"Peik Bäckström, Tom Paxal",Marcus Groth,N/A
259,Yes Nurse! No Nurse!,Pieter Kramer,"Loes Luca, Tjitske Reidinga, Waldemar Torenstra, Edo Brunner",41
260,Daffodils,David Stubbs,"Rose McIver, George Mason, Kimbra, Fen Ikner",N/A
261,Gory Gory Hallelujah,Sue Corcoran,"Tim Gouran, Angie Louise, Jeffrey Gilbert, Todd Licea",N/A
262,Slow Dancing in the Big City,John G. Avildsen,"Paul Sorvino, Anne Ditchburn, Nicolas Coster, Anita Dangler",N/A
263,Technoboss,João Nicolau,"Miguel Lobo Antunes, Luísa Cruz, Américo Silva, Tiago Garrinhas",N/A
264,"¡Bruja, más que bruja!",Fernando Fernán Gómez,"Francisco Algora, Emma Cohen, Mary Santpere, Fernando Fernán Gómez",N/A
265,EMO the Musical,Neil Triffett,"Benson Jack Anthony, Jordan Hare, Rahart Adams, Jon Prasida",N/A
266,Swing,Tony Gatlif,"Oscar Copp, Lou Rech, Tchavolo Schmitt, Mandino Reinhardt",N/A
267,El camino más largo,Alexis Morante,"José Andrés, Andreu Buenafuente, Enrique Bunbury, Robert Castellanos",N/A
268,Pok,Eric Khoo,"Joe Ng, Michelle Goh, Kay Tong Lim, David Brazil",N/A
269,Un Rayo De Luz,Luis Lucia,"Marisol, Anselmo Duarte, María Mahor, Julio Sanjuán",N/A
270,High School Musical,Kenny Ortega,"Zac Efron, Vanessa Hudgens, Ashley Tisdale, Lucas Grabeel",N/A
271,Christmas on Mars,"Wayne Coyne, Bradley Beesley(co-director), George Salisbury(co-director)","Steven Drozd, Wayne Coyne, Steve Burns, Fred Armisen",N/A
272,Swing Time,George Stevens,"Fred Astaire, Ginger Rogers, Victor Moore, Helen Broderick",91
273,Know How,Juan Carlos Pineiro Escoriaza,"Deshawn Brown, Niquana Clark, Michael Dew, Gabrielle Garcia",N/A
274,Desi Munde,Mandeep Benipal,"Balkar Sidhu, Harmeet Kaur, Bunty Grewal, Indy Kheela",N/A
275,Bollywood Made in Spain,Ramón Margareto,"Doriam Sojo, Leyla Zurah",N/A
276,Shall We Dance?,Masayuki Suo,"Kôji Yakusho, Tamiyo Kusakari, Naoto Takenaka, Eri Watanabe",68
277,Clear Blue Tuesday,Elizabeth Lucas,"Becca Ayers, Julie Danao, Vedant Gokhale, Erin Hill",N/A
278,Rotas,Luis Lorente,"Juanjo Artero, Amparo Climent, Andoni Ferreño, Gonzalo Ferreño",N/A
279,I Kissed a Vampire,Chris Nolan,"Lucas Grabeel, Drew Seeley, Adrian Slade, Chris Coppola",N/A
280,Bhangra Paa Le,Sneha Taurani,"Sunny Kaushal, Rukshar Dhillon, Shriya Pilgaonkar, Parmeet Sethi",N/A
281,The Gay Divorcee,Mark Sandrich,"Fred Astaire, Ginger Rogers, Alice Brady, Edward Everett Horton",80
282,Melle,Binu Ulahhannan,"Amith Chakalakkal, Thanuja Karthik, Joju George, Joy Mathew",N/A
283,"Bien de Familia, una película musical",María Eugenia Fontana,"Eliseo Barrionuevo, Federico Fernandez Wagner, Lucila Gandolfo, Jimena Gonzalez",N/A
284,Hello Again,Frank Perry,"Shelley Long, Judith Ivey, Gabriel Byrne, Corbin Bernsen",N/A
285,Bengali Beauty,Rahsaan Noor,"Rahsaan Noor, Mumtaheena Toya, Sarah Alam, Ashfique Rizwan",N/A
286,Phantom of the Opera,Arthur Lubin,"Nelson Eddy, Susanna Foster, Claude Rains, Edgar Barrier",63
287,"Amor, Plástico e Barulho",Renata Pinheiro,"Jennyfer Caldas, Dedesso, Rodrigo García, Everton Gomes",N/A
288,King Creole,Michael Curtiz,"Elvis Presley, Carolyn Jones, Walter Matthau, Dolores Hart",N/A
